distance,duration,lat,lon
12481,2223,18.5358627263,73.8761308417
27843,3132,18.5684439619,73.7669337541
7790,1557,18.457757746,73.8503028452
8969,1639,18.4792923394,73.93180076029999
15877,2550,18.5101475035,73.8156242296
14504,2571,18.5465251643,73.9088963717
16234,2547,18.5009501358,73.81420835850001
25989,3940,18.593576,73.79945
13353,2286,18.5170452049,73.843665719
28983,3328,18.572912494300002,73.780654259
18552,2473,18.515084,73.781929
18452,2931,18.5680272955,73.9098968357
14920,2470,18.5095265823,73.8300984353
774,210,18.4409764635,73.8945448771
14656,2400,18.4897099689,73.8114520535
18822,2548,18.508118771,73.7946061045
20150,2787,18.5076231093,73.8070800528
33207,3611,18.5945088558,73.73469427229999
31680,4272,18.6618341425,73.76674164090001
28298,3410,18.5617625566,73.7904533744
27150,3236,18.5614447208,73.787089549
13177,2255,18.5040847616,73.92776906489999
19062,3152,18.5567410009,73.9511287585
14293,2250,18.4885633675,73.8137141615
26335,3094,18.563860257400002,73.7721586972
18299,2854,18.5653366301,73.9134205456
27456,3291,18.5640604912,73.7794563174
13384,2203,18.5411509566,73.88761404899999
27153,3260,18.5612482981,73.7858319283
31978,3421,18.6045680241,73.7588197365
29474,4141,18.6480692383,73.7882610038
30752,4424,18.6640846674,73.8070706651
14964,2459,18.5341951007,73.8984159753
25636,3959,18.5904908693,74.002423659
29047,3477,18.5657751815,73.8022359833
12471,2221,18.5357584605,73.8760587573
31734,3443,18.6071113209,73.7571339682
13641,2209,18.540327025699998,73.89125447720001
16186,2758,18.5300498074,73.82600605489999
26236,4002,18.6291767328,73.8153995946
12705,2234,18.4643872428,73.83229315279999
14166,2334,18.5194766292,73.9312663302
29474,4141,18.6480438243,73.7882133946
14803,2377,18.536905699400002,73.8999602571
11797,1995,18.505227,73.917034
34094,3679,18.6165813036,73.767022267
33614,3769,18.5958784579,73.7883139774
39466,5026,18.538596821600002,73.6028067023
30469,3754,18.5833749492,73.7827064842
20749,3292,18.5616700664,73.8068302721
18928,3094,18.5589706674,73.94616298380001
32953,3550,18.5911264319,73.7400912121
15282,2560,18.5518203751,73.89752078800001
14664,2418,18.5146722439,73.8284073025
24433,3015,18.5439323296,73.7904305756
33152,3635,18.593948618699997,73.7299873307
18394,2890,18.5652183461,73.9180061594
29567,4010,18.653650683800002,73.781462945
77676,5588,18.7610927612,73.4213864431
7659,1304,18.480826946,73.86535439640001
7439,1465,18.457319502,73.8528918475
16112,2595,18.5107461673,73.8176221401
32001,3425,18.607558713499998,73.7602751702
14626,2530,18.5282629134,73.8411454484
32895,3579,18.600249988599998,73.73701673
14091,2338,18.5188923021,73.93421843649999
27229,3259,18.56154,73.785053
13342,2144,18.4895261825,73.9502520114
6644,1224,18.4813357226,73.9011323825
7636,1515,18.4571197794,73.8510897383
19849,2680,18.5035773243,73.7681772932
11992,2211,18.5043321208,73.9416005462
26842,3265,18.555219,73.783385
25225,3791,18.5955584613,73.8030262291
18316,2930,18.5622342237,73.83342370390001
18475,2513,18.5122897121,73.7821046636
14967,2319,18.4934746851,73.8139897585
11325,1781,18.5049047338,73.8542684913
27250,3287,18.564863,73.782806
11634,1997,18.5057647625,73.9228210598
16008,2774,18.548614788,73.9158731326
35307,3898,18.6126254797,73.7141747028
30840,3527,18.5985086348,73.7637174502
25524,3820,18.5940639711,73.8020468876
13697,2222,18.5408391221,73.8911042735
31758,3568,18.5947500464,73.76462806020001
18397,3038,18.557042506800002,73.933767409
31820,3601,18.596290925199998,73.7727092206
79458,5794,18.7541135279,73.4061303735
18775,2560,18.5082980863,73.7909857929
26003,3929,18.6166823427,73.8007426634
13773,2241,18.5066136591,73.8324255869
17961,2847,18.564425678800003,73.9139573649
32891,3739,18.6002483998,73.7754759192
14729,2326,18.485769647,73.81173033270001
16108,2594,18.5108183375,73.8175949827
18024,3019,18.559442977899998,73.9298353717
14682,2409,18.4899449481,73.8114533946
30862,3427,18.5948711182,73.7639129162
17257,2858,18.5559206416,73.9373244345
19338,3045,18.56671,73.918759
14119,2267,18.538000106800002,73.894569397
13740,2333,18.5221979523,73.8413033634
7201,1400,18.4509149057,73.84857818479999
24898,3766,18.6231191732,73.8187577203
31714,4171,18.667856016400002,73.7688857317
37788,4096,18.649352,73.761765
20923,3288,18.56203367,73.802972585
36144,3935,18.6325164635,73.7847919017
12466,2220,18.5357199965,73.876064457
32163,3418,18.6111193829,73.7601893395
13631,2294,18.4470522506,73.8051706553
19390,3089,18.57267,73.914475
11759,2010,18.4704975001,73.8238428533
30242,3411,18.5937296713,73.76138459890001
11515,1961,18.4702589961,73.8215411827
20195,3385,18.565984,73.945712
24092,3787,18.5748546486,73.987159878
16868,2718,18.5634025794,73.8846378028
20127,3139,18.5601432,73.8091323
18469,2878,18.5664079758,73.9141146094
18085,2860,18.562272,73.917049
18238,2875,18.5637207293,73.917847909
18734,2955,18.5675419779,73.9176494256
27301,3278,18.5574183268,73.7880722433
16485,2846,18.533832709400002,73.8297152147
38678,4209,18.6560792065,73.7692558765
18279,2888,18.563913,73.917469
16447,2833,18.5341741202,73.8296853751
19220,2608,18.519812982,73.7785376608
15806,2530,18.5099297203,73.8160986453
29296,3160,18.5931538605,73.7562847137
7741,1372,18.4935983724,73.8997041062
15442,2413,18.4955185352,73.8113055378
36694,4017,18.5715633658,73.6944782361
6799,1257,18.481245414900002,73.902598545
14581,2301,18.5016197341,73.8345549256
33184,3638,18.5940029583,73.7296882644
20524,3205,18.5545694716,73.7984624505
13056,2182,18.516108932,73.8419517875
17204,2895,18.544376391500002,73.9225803316
24135,3500,18.5881615123,73.7841759995
9571,1618,18.5144010553,73.8798718527
81076,6065,18.7551494467,73.4002985805
20626,3317,18.573894856600003,73.95907178520001
5516,1005,18.477480430099998,73.8946374133
7589,1522,18.4561173465,73.8509586453
11151,2065,18.5020591367,73.9362153411
19400,3071,18.571708,73.914525
14483,2375,18.5046471446,73.8280362051
18247,2861,18.5655984691,73.9129066095
9449,1696,18.4874962518,73.8576772437
13788,2275,18.5201579178,73.8459868357
11302,1924,18.519397,73.867615
13426,2291,18.5169065923,73.8430568576
6284,1182,18.464571374200002,73.8646442816
15932,2478,18.496668905499998,73.8221989945
27321,3065,18.5664896573,73.77153676
14142,2397,18.486589707,73.8257150352
18559,2919,18.5667524997,73.9184701815
36647,3972,18.6442428083,73.7568523362
18278,2888,18.5638825057,73.9174770937
15974,2569,18.5104403181,73.8164342567
20808,3269,18.560734,73.802776
20185,3159,18.559975676500002,73.8093173504
15136,2363,18.490680090799998,73.8280435279
30827,3465,18.5987396512,73.7638639659
8903,1544,18.5007638179,73.9029183984
23646,3312,18.4934333499,73.7384272367
18558,2918,18.5667755995,73.9182765745
4811,885,18.4741516568,73.8912035152
25289,3879,18.60071,73.80138
15718,2616,18.5297592516,73.8368244097
20162,3160,18.5606253,73.8096263
7699,1430,18.475004844,73.8604429364
13845,2355,18.519482033699997,73.83748020979999
17132,2840,18.5496589546,73.9413977042
30757,3392,18.5922412028,73.7649140507
7441,1376,18.4307874368,73.85786700989999
13981,2430,18.5459364795,73.90577964479999
18947,3132,18.5544960485,73.95294629039999
29977,4015,18.6571179493,73.7788306922
30960,3490,18.5958120435,73.7637570128
16443,2567,18.501964388599998,73.8092308491
26949,3988,18.6336744884,73.80755748600001
15051,2629,18.551070556,73.9081557468
14261,2453,18.5205905966,73.9326862246
15103,2400,18.4870984665,73.8193260133
34479,3964,18.6109025,73.7837181
